key,category,zh-CN,note
inventory.action-dialog.all,背包,全部,
inventory.action-dialog.choose-count,背包,选择数量,
inventory.action-dialog.confirm.default,背包,确认,
inventory.action-dialog.confirm.destroy,背包,继续摧毁,
inventory.action-dialog.confirm.drop,背包,确认丢下,
inventory.action-dialog.confirm.use,背包,确认使用,
inventory.action-dialog.half,背包,一半,
inventory.action-dialog.one,背包,1 个,
inventory.action-dialog.subtitle.max-count,背包,{itemName} · 当前最多 {count} 个,
inventory.action-dialog.title.default,背包,操作物品,
inventory.action-dialog.title.destroy,背包,摧毁物品,
inventory.action-dialog.title.drop,背包,丢下物品,
inventory.action-dialog.title.use,背包,批量使用,
inventory.action.back-detail,背包,返回详情,
inventory.action.batch-destroy,背包,批量摧毁,
inventory.action.batch-drop,背包,批量丢下,
inventory.action.batch-use,背包,批量使用,
inventory.action.confirm-use,背包,确认使用,
inventory.action.destroy,背包,摧毁,
inventory.action.drop-one,背包,丢下,
inventory.action.label.equip,背包,装备,
inventory.action.label.formation,背包,布阵,
inventory.action.label.learn,背包,学习,
inventory.action.label.sect-founding,背包,建立宗门,
inventory.action.label.use,背包,使用,
inventory.action.sort,背包,一键整理,
inventory.destroy.back-count,背包,返回修改数量,
inventory.destroy.confirm,背包,确认摧毁,
inventory.destroy.title,背包,确认摧毁,
inventory.destroy.warning,背包,摧毁后物品会永久消失，无法找回。,
inventory.detail.current-count,背包,当前数量,
inventory.detail.desc,背包,物品说明,
inventory.detail.effects,背包,特殊效果,
inventory.detail.equip-slot,背包,装备部位,
inventory.detail.equipment-bonuses,背包,装备属性,
inventory.detail.item-type,背包,物品类型,
inventory.detail.material-bonuses,背包,材料属性,
inventory.detail.sources,背包,来源,
inventory.detail.status,背包,当前状态,
inventory.empty.all,背包,背包空空如也,
inventory.empty.filter,背包,当前分类暂无物品,
inventory.filter.all,背包,全部,
inventory.filter.consumable,背包,消耗品,
inventory.filter.equipment,背包,装备,
inventory.filter.material,背包,材料,
inventory.filter.quest-item,背包,任务物,
inventory.filter.skill-book,背包,功法书,
inventory.formation.action.confirm,背包,确认布阵,
inventory.formation.action.preview-range,背包,预览范围,
inventory.formation.cost.qi,背包,消耗灵力,
inventory.formation.cost.reverse-note,背包,按阵法与阵盘倍率反算,
inventory.formation.cost.spirit-stone,背包,消耗灵石,
inventory.formation.current,背包,当前,
inventory.formation.default-duration,背包,默认,
inventory.formation.default-radius,背包,默认,
inventory.formation.disk,背包,阵盘,
inventory.formation.disk-multiplier,背包,阵盘增幅 {multiplier} 倍,
inventory.formation.effect.intro,背包,效果介绍,
inventory.formation.effect.range,背包,范围说明,
inventory.formation.effect.scaling,背包,强度含义,
inventory.formation.effect.target,背包,作用对象,
inventory.formation.effect.visibility,背包,可见/通行,
inventory.formation.field.duration,背包,持续,
inventory.formation.field.effect,背包,效果,
inventory.formation.field.range,背包,范围,
inventory.formation.field.template,背包,阵法,
inventory.formation.min-effect,背包,最小,
inventory.formation.preview,背包,预览,
inventory.formation.stat.active-cost,背包,开启/日,
inventory.formation.stat.duration,背包,持续,
inventory.formation.stat.effect,背包,强度,
inventory.formation.stat.inactive-cost,背包,关闭/日,
inventory.formation.stat.radius,背包,半径,
inventory.formation.stat.total-aura,背包,总灵力,
inventory.formation.subtitle,背包,{itemName} · {tier} · {multiplier} 倍灵力,
inventory.formation.title,背包,布置阵法,
inventory.load-more,背包,向下滚动继续加载（已显示 {rendered} / {total}）,
inventory.modal.item-subtitle,背包,{type} · 数量 {count},
inventory.modal.item-subtitle.count-only,背包,{itemName} · 数量 {count},
inventory.sect-founding.confirm,背包,建立宗门,
inventory.sect-founding.dialog.hint,背包,点击空白处取消,
inventory.sect-founding.dialog.subtitle,背包,{itemName} · 当前位置开辟山门,
inventory.sect-founding.dialog.title,背包,建立宗门,
inventory.sect-founding.mark-invalid,背包,宗门印记只能是一个字。,
inventory.sect-founding.mark-label,背包,宗门印记,
inventory.sect-founding.mark-placeholder,背包,单字,
inventory.sect-founding.name-invalid,背包,宗门名称需为 2 到 12 个字。,
inventory.sect-founding.name-label,背包,宗门名称,
inventory.sect-founding.name-placeholder,背包,例如：青玄宗,
inventory.source.collapse,背包,收起来源,
inventory.source.expand-all,背包,展开全部来源（{count}）,
inventory.special-use.root-seed.divine.line-1,背包,使用后，五行灵根会直接全部固定为 100。,
inventory.special-use.root-seed.divine.title,背包,确认使用神品灵根幼苗,
inventory.special-use.root-seed.heaven.line-1,背包,使用后，五行灵根会先全部定为 99，再逐项以 50% 概率升到 100，且至少保底一项为 100。,
inventory.special-use.root-seed.heaven.title,背包,确认使用天品灵根幼苗,
inventory.special-use.root-seed.line-2,背包,当前底蕴 {foundation}，本次会消耗 {foundationCost}，使用后剩余 {remainingFoundation}。,
inventory.special-use.root-seed.line-3,背包,当前逆天改命累计 {currentRerollCount} 次，使用后会额外增加 {gainedRerollCount} 次，变为 {nextRerollCount} 次。,
inventory.special-use.shatter-spirit-pill.line-1,背包,使用后会立刻重置天门，清掉当前已开出的灵根结果，并回到可重新开天门的状态。,
inventory.special-use.shatter-spirit-pill.line-2,背包,当前境界修为 {currentExp}，本次会消耗 {expCost}，使用后剩余 {remainingExp}。,
inventory.special-use.shatter-spirit-pill.line-3,背包,当前逆天改命累计 {currentRerollCount} 次，使用后会额外增加 1 次，变为 {nextRerollCount} 次。,
inventory.special-use.shatter-spirit-pill.title,背包,确认使用碎灵丹,
inventory.status.learned,背包,已学,
inventory.status.read,背包,已阅,
inventory.technique-learning-warning.cancel,背包,取消学习,
inventory.technique-learning-warning.confirm,背包,确认学习,
inventory.technique-learning-warning.line-1,背包,目标功法当前过于晦涩难懂，获得的经验值会大幅衰减。,
inventory.technique-learning-warning.line-2,背包,你当前比这门功法低 {gap} 个境界，已超过 {threshold} 个境界的提醒阈值。,
inventory.technique-learning-warning.line-3,背包,确认后仍会照常学习；若暂时不学，点取消即可返回。,
inventory.technique-learning-warning.title,背包,确认学习 {name},
inventory.title,背包,背包,
inventory.title.with-count,背包,背包 ({count}/{capacity}),
inventory.use-confirm.instructions,背包,使用说明,
side-panel.toggle.bottom.collapse,布局,收起下方面板,
side-panel.toggle.bottom.expand,布局,展开下方面板,
side-panel.toggle.left.collapse,布局,收起左侧区域,
side-panel.toggle.left.expand,布局,展开左侧区域,
side-panel.toggle.right.collapse,布局,收起右侧区域,
side-panel.toggle.right.expand,布局,展开右侧区域,
craft.workbench.modal.back,弹层,返回,
craft.workbench.modal.close,弹层,关闭,
craft.workbench.modal.close-hint,弹层,点击空白处关闭,
modal.confirm.cancel,弹层,取消,确认弹层取消按钮
modal.confirm.ok,弹层,确认,确认弹层确认按钮
modal.detail.close-hint,弹层,点击空白处关闭,详情弹层默认关闭提示
navigation.toast.no-nearby-position,导航,找不到能靠近该场景人物的位置,
map-interaction.toast.build-out-of-range,地图交互,超出建造范围，最多 {range} 格,
map-interaction.toast.cast-out-of-range,地图交互,超出施法范围，最多 {range} 格,
map-interaction.toast.inspect-visible-only,地图交互,仅可察视当前可见之地,
map-interaction.toast.loot-out-of-range,地图交互,超出拿取范围，最多 {range} 格,
map-interaction.toast.no-target,地图交互,此处无可用之目标,
map-interaction.toast.projection-observe-only,地图交互,窗外投影当前仅支持观察,
map-interaction.toast.select-visible-tile,地图交互,请选择当前视野内的目标格,
map-interaction.toast.sense-visible-only,地图交互,神识仅可触及视野之内,
map-interaction.toast.target-required,地图交互,此术需有指向之目标,
map-interaction.toast.unknown-tile,地图交互,未知之地，未可踏足,
map-interaction.toast.unreachable,地图交互,此地无法抵达,
map-render.buff.overflow,地图渲染,其余 {count} 项,范围D固定前端可见文本
map-render.entity.building,地图渲染,未完工建筑,范围D固定前端可见文本
map-render.entity.container,地图渲染,箱具,范围D固定前端可见文本
map-render.entity.crowd,地图渲染,人群,范围D固定前端可见文本
map-render.entity.formation,地图渲染,阵法,范围D固定前端可见文本
map-render.entity.monster,地图渲染,妖兽,范围D固定前端可见文本
map-render.entity.npc,地图渲染,道人,范围D固定前端可见文本
map-render.entity.player,地图渲染,修士,范围D固定前端可见文本
map-render.ground.overflow,地图渲染,其余 {count} 种,范围D固定前端可见文本
map-render.ground.overflow-mark,地图渲染,余,范围D固定前端可见文本
map-render.local-player-char,地图渲染,我,范围D固定前端可见文本
map-render.respawn-countdown,地图渲染,回生 {countdown},范围D固定前端可见文本
map-render.seconds,地图渲染,{seconds}息,范围D固定前端可见文本
login.display-name.available,登录,此道号可用,显示名可用状态
login.display-name.check-failed,登录,验查未果,显示名检查异常兜底
login.display-name.checking,登录,正在验查...,显示名远端检查中
login.display-name.required,登录,注册时必填,显示名必填状态
login.display-name.taken,登录,此道号已被占用,显示名占用兜底
login.error.login-failed,登录,登录失败,登录接口异常兜底
login.error.register-failed,登录,注册失败,注册接口异常兜底
login.login-name.label,登录,账号 / 角色名,登录名标签
login.login-name.placeholder,登录,输入账号或角色名,登录名输入框占位
login.mode.login,登录,登录,登录模式按钮和提交按钮
login.mode.register,登录,注册,注册模式按钮和提交按钮
login.restore.failed,登录,重归失败,会话恢复失败兜底
login.restore.in-progress,登录,正在重归天地...,会话恢复状态
loot.action.gathering,掉落,连续采摘中,
loot.action.start-gather,掉落,开始采摘,
loot.action.stop-gather,掉落,停止采集,
loot.action.stop-search,掉落,停止搜索,
loot.action.take,掉落,拿取,
loot.action.take-all,掉落,全部拿取,
loot.empty.none,掉落,这里什么都没有。,
loot.herb.available,掉落,可采集,
loot.herb.gather-ticks,掉落,采集 {ticks} 息,
loot.herb.respawn-ticks,掉落,回生 {ticks} 息,
loot.herb.respawning,掉落,回生中,
loot.herb.start-hint,掉落,点击开始连续采摘,
loot.herb.start-title,掉落,点击开始连续采摘当前草药,
loot.herb.stock-count,掉落,存量 {count} 朵,
loot.item.type.container,掉落,容器,
loot.item.type.current-stock,掉落,当前库存,
loot.item.type.ground,掉落,地面,
loot.modal.subtitle.coords,掉落,"坐标 ({x}, {y})",
loot.search.heading.harvest,掉落,连续采摘中,
loot.search.heading.herb,掉落,采集中,
loot.search.heading.search,掉落,搜索中,
loot.search.progress,掉落,{elapsed} / {total} 息,
loot.source.container-search,掉落,容器搜索{grade},
loot.source.ground,掉落,直接拾取,
loot.source.herb-gather,掉落,草药采集{grade},
auction.action.buy,坊市,确认购买,
auction.action.buyout,坊市,确认一口价,
auction.bid-history.empty,坊市,暂无出价记录。,
auction.bid-history.title,坊市,出价记录,
auction.bidder.anonymous,坊市,匿名修士 {index},
auction.countdown,坊市,剩余时间,
auction.empty.select-lot,坊市,请选择左侧拍品。,
auction.filter.all,坊市,全部分类,
auction.filter.note,坊市,拍卖行交易收取 5% 手续费，最低 100 灵石。,
auction.filter.placeholder,坊市,输入拍品名,
auction.filter.search,坊市,搜索拍品,
auction.loading,坊市,拍卖行行情查探中...,
auction.ribbon.mine,坊市,我的寄拍,
auction.subtitle,坊市,竞价拍品与寄拍管理,
auction.summary.active,坊市,正在拍卖,
auction.summary.buyout,坊市,{count} 件可一口价,
auction.tab.mine,坊市,我的寄拍,
auction.tab.participate,坊市,参与拍卖,
auction.title,坊市,拍卖行,
market.auction.action.bid,坊市,出价,
market.auction.action.buyout,坊市,一口价,
market.auction.action.cancel-consign,坊市,撤回寄拍,
market.auction.card.mine,坊市,我的寄拍,
market.auction.card.my-bids,坊市,{count} 件正在竞价,
market.auction.card.participate,坊市,参与拍卖,
market.auction.card.storage-count,坊市,{count} 件待结算,
market.auction.empty.mine,坊市,当前没有寄拍中的物品。,
market.auction.empty.participate,坊市,当前筛选下暂无可参与拍品。,
market.auction.feed.empty,坊市,暂无拍卖动态。,
market.auction.feed.status.bid,坊市,竞价,
